accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
10,"[1, 3, 4, 5, 8, 77, 21, 85, 86, 88, 89, 90, 91, 28, 93, 30, 94, 31, 96, 33, 34, 35, 36, 100, 40, 104, 41, 43, 44, 45, 46, 47, 51, 54]",Real Bed,5,TRUE,4,77,9,9,9,1,1.5,110,Entire home/apt,92,https://www.airbnb.com/rooms/6339033?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 3, 5, 8, 40, 41, 44, 45, 30, 31]",Real Bed,5,TRUE,6,73,9,9,10,1,1,6,Entire home/apt,90,https://www.airbnb.com/rooms/18274954?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 34, 3, 35, 4, 5, 8, 40, 41, 43, 44, 45, 46, 49, 50, 21, 25, 28, 30]",Real Bed,5,TRUE,2,73,10,9,9,1,0,187,Entire home/apt,92,https://www.airbnb.com/rooms/1249441?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 3, 35, 4, 36, 5, 38, 39, 8, 40, 41, 44, 45, 46, 47, 50, 51, 21, 54, 28, 30, 31]",Real Bed,3,FALSE,4,130,10,10,10,1,1,13,Entire home/apt,97,https://www.airbnb.com/rooms/17140412?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 35, 4, 100, 5, 8, 40, 41, 44, 45, 46, 51, 21, 85, 54, 89, 90, 91, 93, 30, 94, 31]",Real Bed,5,TRUE,3,73,10,10,10,0.996999979,1,31,Entire home/apt,94,https://www.airbnb.com/rooms/4504995?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 34, 3, 35, 4, 36, 5, 39, 8, 40, 41, 44, 45, 46, 47, 49, 50, 51, 21, 55, 28, 61, 30]",Real Bed,4,FALSE,2,181,10,10,10,1,20,9,Entire home/apt,100,https://www.airbnb.com/rooms/17529998?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 35, 4, 5, 39, 8, 40, 41, 45, 30]",Real Bed,5,FALSE,4,55,9,9,9,1,1,16,Entire home/apt,91,https://www.airbnb.com/rooms/16221919?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 34, 35, 4, 5, 39, 8, 40, 9, 44, 45, 46, 47, 49, 50, 21, 30]",Real Bed,5,TRUE,1,37,9,9,9,1,1.5,38,Private room,92,https://www.airbnb.com/rooms/3953882?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[64, 1, 3, 4, 5, 8, 73, 77, 21, 85, 88, 89, 91, 28, 30, 31, 96, 33, 34, 35, 36, 40, 104, 41, 43, 44, 45, 46, 47, 51, 54, 61]",Real Bed,5,TRUE,3,64,10,10,10,1,1,9,Entire home/apt,100,https://www.airbnb.com/rooms/15995049?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[96, 35, 4, 36, 5, 8, 40, 41, 73, 43, 44, 45, 46, 47, 51, 21, 53, 54, 25, 89, 28, 61, 93, 31]",Real Bed,5,FALSE,6,137,10,10,10,1,92,101,Entire home/apt,94,https://www.airbnb.com/rooms/8361293?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 35, 4, 5, 38, 8, 40, 41, 43, 44, 45, 46, 30, 31]",Real Bed,5,TRUE,4,90,9,10,10,1,326,28,Entire home/apt,95,https://www.airbnb.com/rooms/14919182?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 34, 35, 67, 4, 36, 5, 8, 40, 41, 73, 44, 45, 46, 47, 49, 50, 51, 21, 54, 28, 61, 30]",Real Bed,5,FALSE,3,60,10,10,10,1,330.5,5,Entire home/apt,100,https://www.airbnb.com/rooms/18777381?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[32, 1, 3, 35, 4, 5, 39, 8, 40, 41, 11, 45, 28, 30, 31]",Real Bed,3,TRUE,5,92,10,9,10,1,5687.5,36,Entire home/apt,91,https://www.airbnb.com/rooms/13677375?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 3, 35, 4, 36, 5, 38, 39, 8, 40, 41, 44, 45, 46, 47, 51, 21, 54, 25, 57, 28, 30, 31]",Real Bed,5,TRUE,8,101,9,9,10,1,1,19,Entire home/apt,94,https://www.airbnb.com/rooms/17233382?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 3, 35, 36, 5, 37, 40, 41, 43, 44, 45, 77, 46, 47, 21, 88, 25, 28, 30, 31]",Real Bed,5,TRUE,4,46,9,9,9,1,1,119,Entire home/apt,90,https://www.airbnb.com/rooms/10552169?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
